Date,Open,High,Low,Close,Adj Close,Volume
2008-03-17,101.937950,103.482468,96.789574,99.878601,99.878601,286707
2008-03-18,100.702339,105.541817,100.702339,103.997307,103.997307,169486
2008-03-19,106.056656,106.056656,101.937950,101.937950,101.937950,261088
2008-03-20,100.908279,102.143890,90.405579,100.496407,100.496407,97310
2008-03-25,107.086334,109.660522,105.026978,109.660522,109.660522,282747
2008-03-26,106.571495,109.145683,106.056656,108.630852,108.630852,263199
2008-03-27,107.601173,110.690201,107.086334,110.690201,110.690201,505644
2008-03-28,110.690201,112.749550,110.175362,112.234718,112.234718,222246
2008-03-31,108.630852,112.749550,108.630852,112.749550,112.749550,221018
2008-04-01,111.205040,117.383095,110.690201,115.838585,115.838585,381016
2008-04-02,117.383095,122.016640,116.868256,119.442451,119.442451,415602
2008-04-03,118.927612,120.986961,115.323746,115.323746,115.323746,279287
2008-04-04,115.323746,120.472122,115.323746,120.472122,120.472122,182430
2008-04-07,118.927612,128.194702,115.323746,115.323746,115.323746,820444
2008-04-08,124.590828,124.590828,116.353416,117.383095,117.383095,412750
2008-04-09,117.383095,118.412773,111.205040,113.264389,113.264389,488871
2008-04-10,113.264389,113.264389,110.175362,111.719879,111.719879,362158
2008-04-11,111.205040,114.808907,109.145683,110.175362,110.175362,241633
2008-04-14,109.660522,110.175362,107.086334,108.116013,108.116013,215329
2008-04-15,110.175362,110.690201,105.541817,106.571495,106.571495,203579
2008-04-16,105.026978,111.719879,105.026978,111.205040,111.205040,247109
2008-04-17,112.749550,112.749550,109.660522,111.205040,111.205040,98979
2008-04-18,110.690201,118.927612,110.690201,115.323746,115.323746,162806
2008-04-21,117.383095,117.383095,111.719879,113.264389,113.264389,212579
2008-04-22,109.660522,110.690201,106.056656,108.116013,108.116013,254508
2008-04-23,107.086334,108.630852,104.512146,105.541817,105.541817,288258
2008-04-24,106.571495,108.630852,102.761696,106.571495,106.571495,335272
2008-04-25,107.601173,108.116013,104.512146,106.571495,106.571495,226313
2008-04-28,106.571495,108.116013,104.512146,105.541817,105.541817,399100
2008-04-29,100.908279,103.482468,98.848923,99.260796,99.260796,630672
2008-04-30,100.084534,101.937950,99.054855,99.466728,99.466728,98645
2008-05-02,102.967628,105.541817,101.937950,105.541817,105.541817,323477
2008-05-05,106.056656,106.056656,102.967628,104.512146,104.512146,121381
2008-05-06,103.482468,103.482468,100.496407,101.937950,101.937950,160498
2008-05-07,102.761696,105.541817,100.702339,103.997307,103.997307,246018
2008-05-08,103.482468,105.026978,101.320145,103.482468,103.482468,265229
2008-05-09,100.496407,101.526085,99.466728,100.084534,100.084534,271956
2008-05-12,100.702339,101.732018,100.084534,101.526085,101.526085,63833
2008-05-13,101.732018,102.143890,100.290466,101.320145,101.320145,170107
2008-05-14,102.555756,102.555756,100.908279,101.732018,101.732018,145780
2008-05-15,100.084534,102.555756,100.084534,100.908279,100.908279,240945
2008-05-16,102.349823,103.997307,101.320145,102.967628,102.967628,211344
2008-05-19,103.997307,105.026978,101.732018,105.026978,105.026978,153947
2008-05-20,103.482468,103.997307,101.732018,101.732018,101.732018,204256
2008-05-21,102.967628,103.482468,98.437050,99.466728,99.466728,493922
2008-05-22,98.025185,98.848923,93.288673,93.494606,93.494606,571059
2008-05-23,94.112411,94.936157,90.611511,92.464928,92.464928,313162
2008-05-26,91.847122,93.906479,91.847122,92.876801,92.876801,66108
2008-05-27,93.288673,94.524284,91.023384,93.494606,93.494606,135310
2008-05-28,94.936157,97.613312,94.112411,94.936157,94.936157,570070
2008-05-29,95.759895,96.171768,92.258995,92.258995,92.258995,326426
2008-05-30,93.082733,95.553963,93.082733,93.082733,93.082733,372779
2008-06-02,93.700539,95.348022,92.876801,94.730217,94.730217,150055
2008-06-03,93.700539,93.906479,92.464928,93.288673,93.288673,249210
2008-06-04,93.494606,93.494606,92.053062,92.876801,92.876801,306547
2008-06-05,93.700539,95.965828,92.053062,94.730217,94.730217,207170
2008-06-09,91.641190,91.641190,85.669067,86.080940,86.080940,370498
2008-06-10,86.492805,86.492805,82.168167,82.168167,82.168167,500224
2008-06-11,82.991905,85.257195,82.991905,83.197845,83.197845,334454
2008-06-12,82.374100,83.197845,79.902878,82.785973,82.785973,408871
2008-06-13,82.991905,86.904678,79.696945,85.463135,85.463135,492389
2008-06-16,85.257195,86.492805,83.403778,85.463135,85.463135,389356
2008-06-17,85.875000,87.316551,85.875000,86.698746,86.698746,168733
2008-06-18,85.669067,86.492805,82.168167,82.580040,82.580040,251936
2008-06-19,81.962234,83.609711,73.518890,75.372307,75.372307,1060396
2008-06-23,76.607918,76.607918,72.695145,73.107018,73.107018,490470
2008-06-24,72.077339,75.166367,70.223923,73.312950,73.312950,437899
2008-06-25,73.724823,73.724823,71.459534,72.077339,72.077339,257074
2008-06-26,72.283272,73.107018,65.281479,66.517090,66.517090,525673
2008-06-27,65.899284,67.134895,60.750900,64.045868,64.045868,612073
2008-06-30,62.810253,65.075539,61.162769,63.222122,63.222122,328450
2008-07-01,63.428059,63.428059,60.544964,61.780579,61.780579,437061
2008-07-02,61.780579,66.723022,61.780579,63.633995,63.633995,634076
2008-07-03,62.604317,62.810253,59.927158,62.398384,62.398384,443671
2008-07-04,62.810253,64.251801,61.162769,63.633995,63.633995,299466
2008-07-07,63.839931,64.251801,61.368706,62.192448,62.192448,492286
2008-07-08,60.750900,63.428059,60.750900,62.192448,62.192448,386174
2008-07-09,64.045868,65.487411,63.222122,64.869606,64.869606,428519
2008-07-10,64.457733,69.400185,64.045868,64.869606,64.869606,241758
2008-07-11,65.693344,66.517090,61.574642,63.016190,63.016190,522210
