"","x"
"1",-6.55737704918033
"2",0
"3",-8.07692307692308
"4",2.84697864768684
"5",2.56409899502193
"6",5.26315413533835
"7",1.19048011148889
"8",4.41767469879518
"9",0
"10",-3.36134888072895
"11",2.43902439024391
"12",-3.33332916666667
"13",0
"14",0
"15",-0.403229854968941
"16",-2.40963855421687
"17",4.31372549019608
"18",-0.819672131147553
"19",0
"20",2.84552845528456
"21",5.43933054393304
"22",0
"23",-0.884951327433621
"24",8.33332931286533
"25",2.87081818181818
"26",-9.35961622461164
"27",6.30631503124707
"28",-0.961543315458815
"29",-4.76190476190476
"30",2.27272727272727
"31",-3.25581860465116
"32",0
"33",0
"34",-0.900896355815472
"35",-1.33929017857144
"36",5.28634778474239
"37",-5.11627906976745
"38",0
"39",-2.65487168141592
"40",-6.46551696269323
"41",4.04858283204118
"42",-1.68775942245741
"43",-0.829871369294599
"44",0.411514420226928
"45",2.06611561710266
"46",5.48523605547528
"47",0.446433035714281
"48",0
"49",1.34528705584247
"50",2.27272727272727
"51",-1.86046511627906
"52",-1.36986757990868
"53",1.80181072964817
"54",1.37614226496065
"55",0.930237209302327
"56",-0.938971875069104
"57",1.86046511627906
"58",-3.3175308056872
"59",-3.21101390876211
"60",-2.66666666666667
"61",0.432900432900439
"62",0
"63",1.30434347826087
"64",-0.440519804382385
"65",-1.75439481378925
"66",-0.862064618014449
"67",-0.427350427350433
"68",-0.425531914893623
"69",-5.50847457627117
"70",4.41767469879518
"71",-0.420172286561856
"72",0.418414225941418
"73",0.420159681519312
"74",1.265826950809
"75",2.99144871794871
"76",0
"77",0
"78",-2.20264307477343
"79",-0.862064618014449
"80",-0.854700854700867
"81",2.54237288135594
"82",0
"83",0
"84",3.04348260869565
"85",0
"86",-0.448434997687663
"87",-0.892857142857156
"88",0
"89",3.53982743362833
"90",-0.917435821900727
"91",-0.454545454545461
"92",1.80995022624435
"93",-1.38248380725881
"94",-1.36363181818182
"95",0
"96",0
"97",-0.448434997687663
"98",-3.57143303571429
"99",1.72414647740748
"100",0
"101",-1.75439481378925
"102",1.72414647740748
"103",0.877188634964406
"104",0.884955752212402
"105",-0.892857142857156
"106",1.32743805309735
"107",0.448421544772264
"108",-0.450441421151284
"109",10.3138973234932
"110",7.5
"111",-2.7027027027027
"112",2.10526315789473
"113",4.83870430107527
"114",-1.12993778926904
"115",1.67597765363127
"116",1.70455113636365
"117",0.578023154799023
"118",-1.74418013115232
"119",5.71428571428571
"120",5.45454545454546
"121",-3.20512820512822
"122",0.621118012422369
"123",-0.625000000000009
"124",-7.45340993788819
"125",-0.578040495840485
"126",3.4482816091954
"127",0.595226225906319
"128",-4.79041288680162
"129",-2.28571428571428
"130",3.91060893854748
"131",0.5814011289883
"132",0
"133",0
"134",1.16959064327487
