"","date","Close"
"1",2016-01-04,"24.400000"
"2",2016-01-05,"26.000000"
"3",2016-01-07,"26.000000"
"4",2016-01-08,"28.100000"
"5",2016-01-11,"27.299999"
"6",2016-01-12,"26.600000"
"7",2016-01-13,"25.200001"
"8",2016-01-14,"24.900000"
"9",2016-01-15,"23.799999"
"10",2016-01-18,"23.799999"
"11",2016-01-19,"24.600000"
"12",2016-01-20,"24.000000"
"13",2016-01-21,"24.799999"
"14",2016-01-22,"24.799999"
"15",2016-01-25,"24.799999"
"16",2016-01-26,"24.900000"
"17",2016-01-27,"25.500000"
"18",2016-01-28,"24.400000"
"19",2016-01-29,"24.600000"
"20",2016-02-01,"24.600000"
"21",2016-02-02,"23.900000"
"22",2016-02-03,"22.600000"
"23",2016-02-04,"22.600000"
"24",2016-02-05,"22.799999"
"25",2016-02-08,"20.900000"
"26",2016-02-09,"20.299999"
"27",2016-02-10,"22.200001"
"28",2016-02-11,"20.799999"
"29",2016-02-12,"21.000000"
"30",2016-02-15,"22.000000"
"31",2016-02-16,"21.500000"
"32",2016-02-17,"22.200001"
"33",2016-02-18,"22.200001"
"34",2016-02-19,"22.200001"
"35",2016-02-22,"22.400000"
"36",2016-02-23,"22.700001"
"37",2016-02-24,"21.500000"
"38",2016-02-25,"22.600000"
"39",2016-02-26,"22.600000"
"40",2016-02-29,"23.200001"
"41",2016-03-01,"24.700001"
"42",2016-03-02,"23.700001"
"43",2016-03-03,"24.100000"
"44",2016-03-04,"24.299999"
"45",2016-03-07,"24.200001"
"46",2016-03-08,"23.700001"
"47",2016-03-09,"22.400000"
"48",2016-03-10,"22.299999"
"49",2016-03-11,"22.299999"
"50",2016-03-14,"22.000000"
"51",2016-03-15,"21.500000"
"52",2016-03-16,"21.900000"
"53",2016-03-17,"22.200001"
"54",2016-03-18,"21.799999"
"55",2016-03-21,"21.500000"
"56",2016-03-22,"21.299999"
"57",2016-03-23,"21.500000"
"58",2016-03-24,"21.100000"
"59",2016-03-29,"21.799999"
"60",2016-03-30,"22.500000"
"61",2016-03-31,"23.100000"
"62",2016-04-01,"23.000000"
"63",2016-04-04,"23.000000"
"64",2016-04-05,"22.700001"
"65",2016-04-06,"22.799999"
"66",2016-04-07,"23.200001"
"67",2016-04-08,"23.400000"
"68",2016-04-11,"23.500000"
"69",2016-04-12,"23.600000"
"70",2016-04-13,"24.900000"
"71",2016-04-14,"23.799999"
"72",2016-04-15,"23.900000"
"73",2016-04-18,"23.799999"
"74",2016-04-19,"23.700001"
"75",2016-04-20,"23.400000"
"76",2016-04-21,"22.700001"
"77",2016-04-22,"22.700001"
"78",2016-04-25,"22.700001"
"79",2016-04-26,"23.200001"
"80",2016-04-27,"23.400000"
"81",2016-04-28,"23.600000"
"82",2016-04-29,"23.000000"
"83",2016-05-02,"23.000000"
"84",2016-05-03,"23.000000"
"85",2016-05-04,"22.299999"
"86",2016-05-06,"22.299999"
"87",2016-05-09,"22.400000"
"88",2016-05-10,"22.600000"
"89",2016-05-11,"22.600000"
"90",2016-05-12,"21.799999"
"91",2016-05-13,"22.000000"
"92",2016-05-16,"22.100000"
"93",2016-05-17,"21.700001"
"94",2016-05-18,"22.000000"
"95",2016-05-19,"22.299999"
"96",2016-05-20,"22.299999"
"97",2016-05-23,"22.299999"
"98",2016-05-24,"22.400000"
"99",2016-05-25,"23.200001"
"100",2016-05-26,"22.799999"
"101",2016-05-27,"22.799999"
"102",2016-05-30,"23.200001"
"103",2016-05-31,"22.799999"
"104",2016-06-01,"22.600000"
"105",2016-06-02,"22.400000"
"106",2016-06-03,"22.600000"
"107",2016-06-07,"22.299999"
"108",2016-06-08,"22.200001"
"109",2016-06-09,"22.299999"
"110",2016-06-10,"20.000000"
"111",2016-06-13,"18.500000"
"112",2016-06-14,"19.000000"
"113",2016-06-15,"18.600000"
"114",2016-06-16,"17.700001"
"115",2016-06-17,"17.900000"
"116",2016-06-20,"17.600000"
"117",2016-06-21,"17.299999"
"118",2016-06-22,"17.200001"
"119",2016-06-23,"17.500000"
"120",2016-06-27,"16.500000"
"121",2016-06-28,"15.600000"
"122",2016-06-29,"16.100000"
"123",2016-06-30,"16.000000"
"124",2016-07-01,"16.100000"
"125",2016-07-04,"17.299999"
"126",2016-07-05,"17.400000"
"127",2016-07-06,"16.799999"
"128",2016-07-07,"16.700001"
"129",2016-07-08,"17.500000"
"130",2016-07-11,"17.900000"
"131",2016-07-12,"17.200001"
"132",2016-07-13,"17.100000"
"133",2016-07-14,"17.100000"
"134",2016-07-15,"17.100000"
"135",2016-07-18,"16.900000"
"136",2016-07-19,"16.700001"
"137",2016-07-20,"16.700001"
"138",2016-07-21,"16.700001"
"139",2016-07-22,"16.400000"
"140",2016-07-25,"16.799999"
"141",2016-07-26,"16.700001"
"142",2016-07-27,"16.799999"
"143",2016-07-28,"17.000000"
"144",2016-07-29,"16.799999"
"145",2016-08-01,"16.799999"
"146",2016-08-02,"16.900000"
"147",2016-08-03,"16.299999"
"148",2016-08-04,"16.500000"
"149",2016-08-05,"17.000000"
"150",2016-08-08,"18.700001"
"151",2016-08-09,"19.200001"
"152",2016-08-10,"19.100000"
"153",2016-08-11,"18.700001"
"154",2016-08-12,"18.299999"
"155",2016-08-15,"18.000000"
"156",2016-08-16,"17.500000"
"157",2016-08-17,"17.400000"
"158",2016-08-18,"17.600000"
"159",2016-08-19,"17.400000"
"160",2016-08-22,"17.600000"
"161",2016-08-23,"18.000000"
"162",2016-08-24,"18.700001"
"163",2016-08-25,"18.000000"
"164",2016-08-26,"17.700001"
"165",2016-08-29,"17.700001"
"166",2016-08-30,"17.500000"
