Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,15.300000,15.860000,15.180000,15.590000,15.590000,2580606
2020-01-03,15.590000,15.680000,15.150000,15.150000,15.150000,3288117
2020-01-07,15.000000,15.260000,14.770000,14.770000,14.770000,2510773
2020-01-08,14.720000,14.750000,14.500000,14.600000,14.600000,2479155
2020-01-09,14.850000,16.400000,14.850000,16.350000,16.350000,7271666
2020-01-10,16.350000,16.700001,15.370000,15.370000,15.370000,6067422
2020-01-13,15.490000,15.670000,15.150000,15.360000,15.360000,2587139
2020-01-14,15.300000,15.470000,15.170000,15.230000,15.230000,1654383
2020-01-15,15.220000,15.490000,15.190000,15.280000,15.280000,2508701
2020-01-16,15.330000,15.490000,15.230000,15.370000,15.370000,2140537
2020-01-17,15.370000,15.910000,15.310000,15.820000,15.820000,3403870
2020-01-20,15.810000,15.850000,15.430000,15.450000,15.450000,2534888
2020-01-21,15.370000,15.400000,15.230000,15.250000,15.250000,1828433
2020-01-22,15.260000,15.350000,15.000000,15.020000,15.020000,1953133
2020-01-23,15.050000,15.080000,14.430000,14.460000,14.460000,3796781
2020-01-24,14.500000,14.750000,14.470000,14.480000,14.480000,1915732
2020-01-27,14.380000,14.460000,13.850000,13.850000,13.850000,3033132
2020-01-28,13.950000,14.200000,13.730000,14.010000,14.010000,2575801
2020-01-29,14.030000,14.260000,13.810000,13.920000,13.920000,2683144
2020-01-30,14.090000,14.090000,13.540000,13.820000,13.820000,3292965
2020-01-31,13.830000,14.090000,13.810000,13.840000,13.840000,1801929
2020-02-03,13.800000,14.000000,13.460000,14.000000,14.000000,2926824
2020-02-04,14.070000,14.330000,13.870000,14.000000,14.000000,2637702
2020-02-05,14.140000,14.550000,13.900000,13.980000,13.980000,3673811
2020-02-06,13.980000,14.320000,13.950000,13.990000,13.990000,2663901
2020-02-07,14.160000,14.160000,13.710000,13.920000,13.920000,2769972
2020-02-10,13.980000,14.000000,13.710000,13.730000,13.730000,1764142
2020-02-11,13.740000,14.140000,13.740000,14.140000,14.140000,2178971
2020-02-12,14.130000,14.440000,14.060000,14.180000,14.180000,2562463
2020-02-13,14.180000,14.420000,14.000000,14.020000,14.020000,2427917
2020-02-14,14.020000,14.410000,14.020000,14.130000,14.130000,1717409
2020-02-17,14.120000,14.260000,14.010000,14.090000,14.090000,1629753
2020-02-18,3.812588,3.812588,3.728706,3.747647,3.747647,8568435
2020-02-19,3.766588,3.831529,3.747647,3.818000,3.818000,7675743
2020-02-20,3.815294,3.853176,3.766588,3.796353,3.796353,8372052
2020-02-21,3.799059,3.799059,3.701647,3.701647,3.701647,8321939
2020-02-24,3.620470,3.625882,3.341764,3.352588,3.352588,24282795
2020-02-25,3.355294,3.450000,3.214588,3.276823,3.276823,24548749
2020-02-26,3.222706,3.233529,2.873647,2.908823,2.908823,53344663
2020-02-27,2.908823,2.908823,2.539470,2.601706,2.601706,63486205
2020-02-28,2.589529,2.906117,2.448823,2.708588,2.708588,50730743
2020-03-02,2.857411,2.865529,2.592235,2.668000,2.668000,31395665
2020-03-03,2.705882,2.776235,2.611176,2.636882,2.636882,32950765
2020-03-04,2.649058,2.657176,2.543529,2.580058,2.580058,24781456
2020-03-05,2.597647,2.638235,2.363588,2.378470,2.378470,41958995
2020-03-06,2.378470,2.548941,2.252647,2.536764,2.536764,48217071
2020-03-09,2.408235,2.531353,2.232353,2.408235,2.408235,27855404
2020-03-10,2.439353,2.692353,2.439353,2.489411,2.489411,29971139
2020-03-11,2.516470,2.559764,2.413647,2.467764,2.467764,10872560
2020-03-12,2.335176,2.340588,2.156588,2.243176,2.243176,27536399
2020-03-13,2.232353,2.580058,2.194470,2.379823,2.379823,33507800
2020-03-16,2.157941,2.323000,2.011823,2.210705,2.210705,31642623
2020-03-17,2.300000,2.385235,2.152529,2.285117,2.285117,26929791
2020-03-18,2.594941,2.727529,2.155235,2.218823,2.218823,40663022
2020-03-19,2.300000,2.327058,2.106529,2.222882,2.222882,22405847
2020-03-20,2.435294,2.452882,2.294588,2.375764,2.375764,23090381
2020-03-23,2.375764,2.375764,2.222882,2.283764,2.283764,9639627
2020-03-24,2.381176,2.419058,2.270235,2.351411,2.351411,23522370
2020-03-25,2.435294,2.475882,2.324353,2.383882,2.383882,16650464
2020-03-26,2.381176,2.433941,2.252647,2.332470,2.332470,23283209
2020-03-27,2.373058,2.381176,2.275647,2.275647,2.275647,11268087
2020-03-30,2.320294,2.379823,2.232353,2.379823,2.379823,16549336
2020-03-31,2.421764,2.452882,2.362235,2.374411,2.374411,13956847
2020-04-01,2.408235,2.446117,2.352764,2.385235,2.385235,12556628
2020-04-02,2.394705,2.433941,2.378470,2.404176,2.404176,8164112
2020-04-03,2.423117,2.427176,2.356823,2.375764,2.375764,7472833
2020-04-06,2.415000,2.456941,2.346000,2.406882,2.406882,17738564
2020-04-07,2.435294,2.561117,2.370353,2.405529,2.405529,26861901
2020-04-08,2.405529,2.421764,2.313529,2.321647,2.321647,21353931
2020-04-09,2.346000,2.400117,2.316235,2.318941,2.318941,8563583
2020-04-14,2.435294,2.435294,2.341941,2.367647,2.367647,19645332
2020-04-15,2.413647,2.413647,2.286470,2.291882,2.291882,19028158
2020-04-16,2.327058,2.346000,2.195823,2.199882,2.199882,14162529
2020-04-17,2.294588,2.317588,2.259411,2.283764,2.283764,12927933
2020-04-20,2.329764,2.508353,2.324353,2.447470,2.447470,29227717
2020-04-21,2.435294,2.486705,2.318941,2.324353,2.324353,15674087
2020-04-22,2.394705,2.394705,2.317588,2.317588,2.317588,8553398
2020-04-23,2.358176,2.369000,2.324353,2.344647,2.344647,6010722
2020-04-24,2.327058,2.354117,2.295941,2.301353,2.301353,8535684
2020-04-27,2.354117,2.516470,2.329764,2.431235,2.431235,31213365
2020-04-28,2.394705,2.400117,2.300000,2.316235,2.316235,22271525
2020-04-29,2.302705,2.350058,2.251294,2.335176,2.335176,24225072
2020-04-30,2.346000,2.478588,2.337882,2.455588,2.455588,20017306
2020-05-04,2.416353,2.416353,2.300000,2.335176,2.335176,16570398
